date,open_spot,high_spot,low_spot,close_spot,volume_spot,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,open_interest_ce,open_interest_pe,volume_ce,volume_pe
2025-01-14,23165.9,23264.95,23134.15,23176.05,311235510,23248.0,23339.0,23198.45,23271.75,194699,13753850,19494225,23319300,9423714,9353511
2025-01-15,23250.45,23293.65,23146.45,23213.2,228039156,23302.05,23345.0,23201.0,23265.9,143790,13536300,38377050,32751075,20294803,22384264
2025-01-16,23377.25,23391.65,23272.05,23311.8,299416081,23406.0,23423.9,23346.15,23377.55,171198,13500850,66049050,55946100,58463061,53871172
2025-01-17,23277.1,23292.1,23100.35,23203.2,272945267,23344.9,23353.8,23150.1,23267.2,218388,14032150,10140900,10690275,5982807,6929039
2025-01-20,23290.4,23391.1,23170.65,23344.75,301455455,23339.95,23449.0,23220.0,23400.2,163712,14133750,11247750,11048025,6300739,4503616
2025-01-21,23421.65,23426.3,22976.85,23024.65,312871897,23424.95,23460.65,23051.65,23103.2,388434,14572600,7323900,13144500,1691908,8349465
2025-01-22,23099.15,23169.55,22981.3,23155.35,275951918,23164.0,23219.9,23020.0,23198.95,211777,14085325,23421225,21442425,19229513,14363099
2025-01-23,23128.3,23270.8,23090.65,23205.35,275558357,23150.0,23319.85,23126.9,23263.7,161222,13637050,52808625,67065900,56133469,56714294
2025-01-24,23183.9,23347.3,23050.0,23092.2,264336332,23275.1,23375.0,23071.45,23113.9,275484,13209950,12515675,13896125,10170472,19937665
2025-01-27,22940.15,23007.45,22786.9,22829.15,257372790,22972.0,23028.9,22809.0,22846.45,241956,11804150,8285350,8747425,11199633,16900830
2025-01-28,22960.45,23137.95,22857.65,22957.25,361868609,22948.0,23158.45,22871.0,22977.7,323967,8969500,16445075,22048450,16468808,17478945
2025-01-29,23026.75,23183.35,22976.5,23163.1,251208119,23034.0,23185.5,22963.7,23148.25,298123,6367950,15620750,15502325,25745282,14711729
2025-01-30,23169.5,23322.05,23139.2,23249.5,384687127,23150.0,23310.0,23120.0,23235.1,269241,4310725,28555150,19359700,109890771,73871344
2025-01-31,23296.75,23546.8,23277.4,23508.4,326919177,23490.0,23644.0,23411.05,23620.2,88911,17774775,12089025,13978650,2811623,2590984
2025-02-03,23319.35,23381.6,23222.0,23361.05,347241171,23390.0,23463.25,23305.35,23442.75,83636,17125575,13606575,20231850,7707087,7390112
2025-02-04,23509.9,23762.75,23423.15,23739.25,376742506,23550.0,23796.75,23496.9,23785.4,137005,16697400,19755750,11008800,8213893,2498355
2025-02-05,23801.75,23807.3,23680.45,23696.3,267014345,23825.0,23853.8,23755.0,23772.6,51116,16613175,40866075,23683350,15599333,17254841
2025-02-06,23761.95,23773.55,23556.25,23603.35,306978683,23822.4,23835.0,23660.0,23688.9,55302,16787400,65744025,46542150,59535850,56648519
2025-02-07,23649.5,23694.5,23443.2,23559.95,368092482,23712.0,23794.65,23521.0,23614.95,94840,16761000,11949900,9274875,5519499,7451062
2025-02-10,23543.8,23568.6,23316.3,23381.6,225529166,23589.95,23623.0,23388.0,23459.15,68065,17100975,14299575,11451075,6072990,7093776
2025-02-11,23383.55,23390.05,22986.65,23071.8,267969979,23421.0,23470.0,23060.0,23153.15,87766,17240925,8310525,13176075,3000116,7257670
2025-02-12,23050.8,23144.7,22798.35,23045.25,279656513,23134.4,23236.45,22900.0,23123.85,132065,17572200,17697825,15393750,18183624,15586785
2025-02-13,23055.75,23235.5,22992.2,23031.4,265706855,23119.0,23310.0,23066.0,23107.75,82593,17272950,33607050,23760150,42965603,65688354
